POA&M Item ID,Control Vulnerability Description,Controls / APs,Security Checks,POA&M Status,POA&M Scheduled Completion Date,POA&M Requested Risk Accepted Expiration Date,POA&M Completion Date,Milestone ID,Milestone Description,Milestone Status,Milestone Status Comments,Milestone Scheduled Completion Date,Milestone Completion Date,Identification Source,Identification Source Details,Office/Org,Resources Required,Comments,Raw Severity,Devices Affected,Mitigations (in-house and in conjunction with the Navy CSSP),Predisposing Conditions,Severity,Relevance of Threat,Threat Description,Likelihood,Impact,Impact Description,Residual Risk Level,Recommendations,Resulting Residual Risk after Proposed Mitigations
,The version of Internet Explorer running on the system must be a supported version.,SI-2,V-252910,Ongoing,,,,,,,,,,Microsoft Internet Explorer 11 Security Technical Implementation Guide,,,,,high,"SOT-WIN2K22-01, SOT-WIN2K22-02, SOT-WIN2K22-SQL, SOT-WIN2K22-WEB, WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,The version of Microsoft Edge running on the system must be a supported version.,SI-2,V-235758,Ongoing,,,,,,,,,,Microsoft Edge Security Technical Implementation Guide,,,,,high,"SOT-WIN2K22-01, SOT-WIN2K22-02, SOT-WIN2K22-SQL, SOT-WIN2K22-WEB, WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,"Windows Server 2022 administrative accounts must not be used with applications that access the internet, such as web browsers, or with potential internet sources, such as email.",CM-6,V-254240,Ongoing,,,,,,,,,,Windows Server 2022 Security Technical Implementation Guide,,,,,high,SOT-WIN2K22-01,,,,,,,,,,,
,Windows Server 2022 systems requiring data at rest protections must employ cryptographic mechanisms to prevent unauthorized disclosure and modification of the information at rest.,SC-28,V-254262,Ongoing,,,,,,,,,,Windows Server 2022 Security Technical Implementation Guide,,,,,high,SOT-WIN2K22-01,,,,,,,,,,,
,Windows Server 2022 must only allow administrators responsible for the member server or standalone or nondomain-joined system to have Administrator rights on the system.,AC-6(10),V-254428,Ongoing,,,,,,,,,,Windows Server 2022 Security Technical Implementation Guide,,,,,high,SOT-WIN2K22-01,,,,,,,,,,,
,Windows Defender Firewall with Advanced Security must block unsolicited inbound connections when connected to a domain.,CM-7,V-241992,Ongoing,,,,,,,,,,Windows Defender Firewall with Advanced Security Security Technical Implementation Guide,,,,,high,"SOT-WIN2K22-01, SOT-WIN2K22-02, SOT-WIN2K22-SQL, SOT-WIN2K22-WEB, WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,Windows Defender Firewall with Advanced Security must block unsolicited inbound connections when connected to a private network.,CM-7,V-241997,Ongoing,,,,,,,,,,Windows Defender Firewall with Advanced Security Security Technical Implementation Guide,,,,,high,"SOT-WIN2K22-01, SOT-WIN2K22-02, SOT-WIN2K22-SQL, SOT-WIN2K22-WEB, WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,Windows Defender Firewall with Advanced Security must block unsolicited inbound connections when connected to a public network.,CM-7,V-242002,Ongoing,,,,,,,,,,Windows Defender Firewall with Advanced Security Security Technical Implementation Guide,,,,,high,"SOT-WIN2K22-01, SOT-WIN2K22-02, SOT-WIN2K22-SQL, SOT-WIN2K22-WEB, WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,SQL Server must be configured to use the most-secure authentication method available.,AC-2(1),V-271264,Ongoing,,,,,,,,,,Microsoft SQL Server 2022 Instance Security Technical Implementation Guide,,,,,high,SOT-WIN2K22-SQL-SQLEXPRESS,,,,,,,,,,,
,"SQL Server must integrate with an organization-level authentication/access mechanism providing account management and automation for all users, groups, roles, and any other principals.",AC-2(1),V-271265,Ongoing,,,,,,,,,,Microsoft SQL Server 2022 Instance Security Technical Implementation Guide,,,,,high,SOT-WIN2K22-SQL-SQLEXPRESS,,,,,,,,,,,
,SQL Server must enforce approved authorizations for logical access to information and system resources in accordance with applicable access control policies.,AC-3,V-271266,Ongoing,,,,,,,,,,Microsoft SQL Server 2022 Instance Security Technical Implementation Guide,,,,,high,SOT-WIN2K22-SQL-SQLEXPRESS,,,,,,,,,,,
,SQL Server software installation account must be restricted to authorized users.,CM-5(6),V-271286,Ongoing,,,,,,,,,,Microsoft SQL Server 2022 Instance Security Technical Implementation Guide,,,,,high,SOT-WIN2K22-SQL-SQLEXPRESS,,,,,,,,,,,
,"If passwords are used for authentication, SQL Server must transmit only encrypted representations of passwords.",IA-5(1),V-271309,Ongoing,,,,,,,,,,Microsoft SQL Server 2022 Instance Security Technical Implementation Guide,,,,,high,SOT-WIN2K22-SQL-SQLEXPRESS,,,,,,,,,,,
,Confidentiality of information during transmission must be controlled through the use of an approved TLS version.,IA-5(1),V-271310,Ongoing,,,,,,,,,,Microsoft SQL Server 2022 Instance Security Technical Implementation Guide,,,,,high,SOT-WIN2K22-SQL-SQLEXPRESS,,,,,,,,,,,
,"When using command-line tools such as SQLCMD in a mixed-mode authentication environment, users must use a logon method that does not expose the password.",IA-6,V-271313,Ongoing,,,,,,,,,,Microsoft SQL Server 2022 Instance Security Technical Implementation Guide,,,,,high,SOT-WIN2K22-SQL-SQLEXPRESS,,,,,,,,,,,
,The Master Key must be backed up and stored in a secure location that is not on the SQL Server.,SC-28,V-271322,Ongoing,,,,,,,,,,Microsoft SQL Server 2022 Instance Security Technical Implementation Guide,,,,,high,SOT-WIN2K22-SQL-SQLEXPRESS,,,,,,,,,,,
,The Service Master Key must be backed up and stored in a secure location that is not on the SQL Server.,SC-28,V-271323,Ongoing,,,,,,,,,,Microsoft SQL Server 2022 Instance Security Technical Implementation Guide,,,,,high,SOT-WIN2K22-SQL-SQLEXPRESS,,,,,,,,,,,
,SQL Server must protect the confidentiality and integrity of all information at rest.,SC-28,V-271324,Ongoing,,,,,,,,,,Microsoft SQL Server 2022 Instance Security Technical Implementation Guide,,,,,high,SOT-WIN2K22-SQL-SQLEXPRESS,,,,,,,,,,,
,Microsoft SQL Server products must be a version supported by the vendor.,SA-22,V-271365,Ongoing,,,,,,,,,,Microsoft SQL Server 2022 Instance Security Technical Implementation Guide,,,,,high,SOT-WIN2K22-SQL-SQLEXPRESS,,,,,,,,,,,
,"All IIS 10.0 web server sample code, example applications, and tutorials must be removed from a production IIS 10.0 server.",CM-7,V-218795,Ongoing,,,,,,,,,,Microsoft IIS 10.0 Server Security Technical Implementation Guide,,,,,high,SOT-WIN2K22-WEB,,,,,,,,,,,
,"IIS 10.0 Web server accounts accessing the directory tree, the shell, or other operating system functions and utilities must only be administrative accounts.",SC-2,V-218802,Ongoing,,,,,,,,,,Microsoft IIS 10.0 Server Security Technical Implementation Guide,,,,,high,SOT-WIN2K22-WEB,,,,,,,,,,,
,An IIS 10.0 web server must maintain the confidentiality of controlled information during transmission through the use of an approved Transport Layer Security (TLS) version.,SC-8,V-218821,Ongoing,,,,,,,,,,Microsoft IIS 10.0 Server Security Technical Implementation Guide,,,,,high,SOT-WIN2K22-WEB,,,,,,,,,,,
,All accounts installed with the IIS 10.0 web server software and tools must have passwords assigned and default passwords changed.,CM-6,V-218823,Ongoing,,,,,,,,,,Microsoft IIS 10.0 Server Security Technical Implementation Guide,,,,,high,SOT-WIN2K22-WEB,,,,,,,,,,,
,Anonymous IIS 10.0 website access accounts must be restricted.,SC-2,V-218750,Ongoing,,,,,,,,,,Microsoft IIS 10.0 Site Security Technical Implementation Guide,,,,,high,SOT-WIN2K22-WEB,,,,,,,,,,,
,The IIS 10.0 private website must employ cryptographic mechanisms (TLS) and require client certificates.,SC-28(1),V-218768,Ongoing,,,,,,,,,,Microsoft IIS 10.0 Site Security Technical Implementation Guide,,,,,high,SOT-WIN2K22-WEB,,,,,,,,,,,
