Device,Network Classification,Low Port,High Port,Protocol,Service,Boundary 1,Boundary 2,Boundary 3,Boundary 4,Boundary 5,Boundary 6,Boundary 7,Boundary 8,Boundary 9,Boundary 10,Boundary 11,Boundary 12,Boundary 13,Boundary 14,Boundary 15,Boundary 16,Comments,Scanner,Scanner Version,Credentialed?
SOT-WIN2K22-01,,123,,udp,ntp?,,,,,,,,,,,,,,,,,,ACAS / Nessus,10.10.1.202603040133,True
SOT-WIN2K22-01,,135,,tcp,epmap,,,,,,,,,,,,,,,,,,ACAS / Nessus,10.10.1.202603040133,True
SOT-WIN2K22-01,,137,,udp,netbios-ns,,,,,,,,,,,,,,,,,,ACAS / Nessus,10.10.1.202603040133,True
SOT-WIN2K22-01,,138,,udp,netbios-dgm?,,,,,,,,,,,,,,,,,,ACAS / Nessus,10.10.1.202603040133,True
SOT-WIN2K22-01,,139,,tcp,smb,,,,,,,,,,,,,,,,,,ACAS / Nessus,10.10.1.202603040133,True
SOT-WIN2K22-01,,445,,tcp,cifs,,,,,,,,,,,,,,,,,,ACAS / Nessus,10.10.1.202603040133,True
SOT-WIN2K22-01,,500,,udp,isakmp?,,,,,,,,,,,,,,,,,,ACAS / Nessus,10.10.1.202603040133,True
SOT-WIN2K22-01,,3702,,udp,upnp-discovery?,,,,,,,,,,,,,,,,,,ACAS / Nessus,10.10.1.202603040133,True
SOT-WIN2K22-01,,4500,,udp,ipsec-nat-t?,,,,,,,,,,,,,,,,,,ACAS / Nessus,10.10.1.202603040133,True
SOT-WIN2K22-01,,5353,,udp,mdns?,,,,,,,,,,,,,,,,,,ACAS / Nessus,10.10.1.202603040133,True
SOT-WIN2K22-01,,5355,,udp,llmnr?,,,,,,,,,,,,,,,,,,ACAS / Nessus,10.10.1.202603040133,True
SOT-WIN2K22-01,,5357,,tcp,www,,,,,,,,,,,,,,,,,,ACAS / Nessus,10.10.1.202603040133,True
SOT-WIN2K22-01,,5985,,tcp,www,,,,,,,,,,,,,,,,,,ACAS / Nessus,10.10.1.202603040133,True
SOT-WIN2K22-01,,47001,,tcp,www,,,,,,,,,,,,,,,,,,ACAS / Nessus,10.10.1.202603040133,True
SOT-WIN2K22-01,,49664,,tcp,dce-rpc,,,,,,,,,,,,,,,,,,ACAS / Nessus,10.10.1.202603040133,True
SOT-WIN2K22-01,,49665,,tcp,dce-rpc,,,,,,,,,,,,,,,,,,ACAS / Nessus,10.10.1.202603040133,True
SOT-WIN2K22-01,,49666,,tcp,dce-rpc,,,,,,,,,,,,,,,,,,ACAS / Nessus,10.10.1.202603040133,True
SOT-WIN2K22-01,,49667,,tcp,dce-rpc,,,,,,,,,,,,,,,,,,ACAS / Nessus,10.10.1.202603040133,True
SOT-WIN2K22-01,,49668,,tcp,dce-rpc,,,,,,,,,,,,,,,,,,ACAS / Nessus,10.10.1.202603040133,True
SOT-WIN2K22-01,,49669,,tcp,dce-rpc,,,,,,,,,,,,,,,,,,ACAS / Nessus,10.10.1.202603040133,True
SOT-WIN2K22-01,,49670,,tcp,dce-rpc,,,,,,,,,,,,,,,,,,ACAS / Nessus,10.10.1.202603040133,True
SOT-WIN2K22-01,,49676,,tcp,unknown,,,,,,,,,,,,,,,,,,ACAS / Nessus,10.10.1.202603040133,True
SOT-WIN2K22-01,,59695,,udp,unknown,,,,,,,,,,,,,,,,,,ACAS / Nessus,10.10.1.202603040133,True
SOT-WIN2K22-01,,59697,,udp,unknown,,,,,,,,,,,,,,,,,,ACAS / Nessus,10.10.1.202603040133,True
SOT-WIN2K22-02,,123,,udp,ntp?,,,,,,,,,,,,,,,,,,ACAS / Nessus,10.10.1.202603040133,True
SOT-WIN2K22-02,,135,,tcp,epmap,,,,,,,,,,,,,,,,,,ACAS / Nessus,10.10.1.202603040133,True
SOT-WIN2K22-02,,137,,udp,netbios-ns,,,,,,,,,,,,,,,,,,ACAS / Nessus,10.10.1.202603040133,True
SOT-WIN2K22-02,,138,,udp,netbios-dgm?,,,,,,,,,,,,,,,,,,ACAS / Nessus,10.10.1.202603040133,True
SOT-WIN2K22-02,,139,,tcp,smb,,,,,,,,,,,,,,,,,,ACAS / Nessus,10.10.1.202603040133,True
SOT-WIN2K22-02,,445,,tcp,cifs,,,,,,,,,,,,,,,,,,ACAS / Nessus,10.10.1.202603040133,True
SOT-WIN2K22-02,,500,,udp,isakmp?,,,,,,,,,,,,,,,,,,ACAS / Nessus,10.10.1.202603040133,True
SOT-WIN2K22-02,,3702,,udp,upnp-discovery?,,,,,,,,,,,,,,,,,,ACAS / Nessus,10.10.1.202603040133,True
SOT-WIN2K22-02,,4500,,udp,ipsec-nat-t?,,,,,,,,,,,,,,,,,,ACAS / Nessus,10.10.1.202603040133,True
SOT-WIN2K22-02,,5353,,udp,mdns?,,,,,,,,,,,,,,,,,,ACAS / Nessus,10.10.1.202603040133,True
SOT-WIN2K22-02,,5355,,udp,llmnr?,,,,,,,,,,,,,,,,,,ACAS / Nessus,10.10.1.202603040133,True
SOT-WIN2K22-02,,5357,,tcp,www,,,,,,,,,,,,,,,,,,ACAS / Nessus,10.10.1.202603040133,True
SOT-WIN2K22-02,,5985,,tcp,www,,,,,,,,,,,,,,,,,,ACAS / Nessus,10.10.1.202603040133,True
SOT-WIN2K22-02,,47001,,tcp,www,,,,,,,,,,,,,,,,,,ACAS / Nessus,10.10.1.202603040133,True
SOT-WIN2K22-02,,49664,,tcp,dce-rpc,,,,,,,,,,,,,,,,,,ACAS / Nessus,10.10.1.202603040133,True
SOT-WIN2K22-02,,49665,,tcp,dce-rpc,,,,,,,,,,,,,,,,,,ACAS / Nessus,10.10.1.202603040133,True
SOT-WIN2K22-02,,49666,,tcp,dce-rpc,,,,,,,,,,,,,,,,,,ACAS / Nessus,10.10.1.202603040133,True
SOT-WIN2K22-02,,49667,,tcp,dce-rpc,,,,,,,,,,,,,,,,,,ACAS / Nessus,10.10.1.202603040133,True
