Host/Device,Critical,High,Medium,Low,Info,Report Date,Last Updated
SOT-WIN2K22-01,4,27,6,1,166,03/03/2026 01:19 PM,05/11/2026 05:24 PM
SOT-WIN2K22-02,4,27,6,1,155,03/03/2026 01:19 PM,05/11/2026 05:24 PM
SOT-WIN2K22-SQL,4,29,6,1,169,03/03/2026 01:19 PM,05/11/2026 05:24 PM
SOT-WIN2K22-WEB,4,27,6,1,166,03/03/2026 01:20 PM,05/11/2026 05:24 PM
WKS1-SOTERIA,0,0,0,0,157,03/03/2026 01:21 PM,05/11/2026 05:24 PM
WKS2-SOTERIA,8,20,2,0,158,03/03/2026 01:22 PM,05/11/2026 05:24 PM
WKS3-SOTERIA,6,7,0,0,158,03/03/2026 01:22 PM,05/11/2026 05:24 PM
WKS4-SOTERIA,6,7,0,0,158,03/03/2026 01:22 PM,05/11/2026 05:24 PM
WKS5-SOTERIA,6,7,0,0,158,03/03/2026 01:22 PM,05/11/2026 05:24 PM
WKS6-SOTERIA,6,7,0,0,156,03/03/2026 01:22 PM,05/11/2026 05:24 PM
WKS7-SOTERIA,6,7,0,0,156,03/03/2026 01:22 PM,05/11/2026 05:24 PM
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
