Device,Software,Version,Type,Approval,Installed On,Scanner,Scanner Version,Credentialed?
SOT-WIN2K22-01,Microsoft Visual C++ 2015-2022 Redistributable (x64) - 14.44.35211,14.44.35211.0,OS,,,ACAS / Nessus,10.10.1.202603030606,True
SOT-WIN2K22-01,Microsoft Visual C++ 2015-2022 Redistributable (x86) - 14.44.35211,14.44.35211.0,OS,,,ACAS / Nessus,10.10.1.202603030606,True
SOT-WIN2K22-01,Microsoft Visual C++ 2022 X64 Additional Runtime - 14.44.35211,14.44.35211,OS,,2025/07/25,ACAS / Nessus,10.10.1.202603030606,True
SOT-WIN2K22-01,Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.44.35211,14.44.35211,OS,,2025/07/25,ACAS / Nessus,10.10.1.202603030606,True
SOT-WIN2K22-01,Microsoft Visual C++ 2022 X86 Additional Runtime - 14.44.35211,14.44.35211,OS,,2025/07/25,ACAS / Nessus,10.10.1.202603030606,True
SOT-WIN2K22-01,Microsoft Visual C++ 2022 X86 Minimum Runtime - 14.44.35211,14.44.35211,OS,,2025/07/25,ACAS / Nessus,10.10.1.202603030606,True
SOT-WIN2K22-02,Microsoft Visual C++ 2015-2022 Redistributable (x64) - 14.44.35211,14.44.35211.0,OS,,,ACAS / Nessus,10.10.1.202603030606,True
SOT-WIN2K22-02,Microsoft Visual C++ 2015-2022 Redistributable (x86) - 14.44.35211,14.44.35211.0,OS,,,ACAS / Nessus,10.10.1.202603030606,True
SOT-WIN2K22-02,Microsoft Visual C++ 2022 X64 Additional Runtime - 14.44.35211,14.44.35211,OS,,2025/07/25,ACAS / Nessus,10.10.1.202603030606,True
SOT-WIN2K22-02,Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.44.35211,14.44.35211,OS,,2025/07/25,ACAS / Nessus,10.10.1.202603030606,True
SOT-WIN2K22-02,Microsoft Visual C++ 2022 X86 Additional Runtime - 14.44.35211,14.44.35211,OS,,2025/07/25,ACAS / Nessus,10.10.1.202603030606,True
SOT-WIN2K22-02,Microsoft Visual C++ 2022 X86 Minimum Runtime - 14.44.35211,14.44.35211,OS,,2025/07/25,ACAS / Nessus,10.10.1.202603030606,True
SOT-WIN2K22-SQL,Browser for SQL Server 2022,16.0.1000.6,OS,,2024/11/25,ACAS / Nessus,10.10.1.202603030606,True
SOT-WIN2K22-SQL,GDR 1110 for SQL Server 2022 (KB5032968) (64-bit),16.0.1110.1,OS,,2024/02/03,ACAS / Nessus,10.10.1.202603030606,True
SOT-WIN2K22-SQL,GDR 1121 for SQL Server 2022 (KB5040936) (64-bit),16.0.1121.4,OS,,2024/07/19,ACAS / Nessus,10.10.1.202603030606,True
SOT-WIN2K22-SQL,GDR 1140 for SQL Server 2022 (KB5058712) (64-bit),16.0.1140.6,OS,,2025/07/28,ACAS / Nessus,10.10.1.202603030606,True
SOT-WIN2K22-SQL,Microsoft MPI (10.1.12498.18),10.1.12498.18,OS,,2024/02/02,ACAS / Nessus,10.10.1.202603030606,True
SOT-WIN2K22-SQL,Microsoft ODBC Driver 17 for SQL Server,17.10.6.1,OS,,2024/04/26,ACAS / Nessus,10.10.1.202603030606,True
SOT-WIN2K22-SQL,Microsoft OLE DB Driver for SQL Server,18.7.4.0,OS,,2024/07/19,ACAS / Nessus,10.10.1.202603030606,True
SOT-WIN2K22-SQL,Microsoft SQL Server 2022 (64-bit),,OS,,,ACAS / Nessus,10.10.1.202603030606,True
