Host/Device,Checklist Type,Version,Release,CAT 1 Open,CAT 2 Open,CAT 3 Open,Not a Finding,Not Applicable,Not Reviewed,Last Updated,Tags
SOT-WIN2K22-01,Google Chrome Current Windows STIG,2,R11 dated 02 Jul 2025,0,7,0,37,0,2,05/11/2026 05:22 PM,
SOT-WIN2K22-01,Microsoft Defender Antivirus STIG,2,R8 dated 01 Apr 2026,0,26,0,41,0,0,05/11/2026 05:22 PM,
SOT-WIN2K22-01,Microsoft DotNet Framework 4.0 STIG,2,R8 dated 01 Apr 2026,0,2,0,11,0,3,05/11/2026 05:22 PM,
SOT-WIN2K22-01,Microsoft Edge STIG,2,R5 dated 01 Apr 2026,0,5,1,49,0,6,05/11/2026 05:22 PM,
SOT-WIN2K22-01,MSIE 11 STIG,2,R7 dated 01 Apr 2026,1,0,0,136,0,0,05/11/2026 05:22 PM,
SOT-WIN2K22-01,WIN SVR 2022 STIG,2,R8 dated 01 Apr 2026,0,18,0,186,54,24,05/11/2026 05:22 PM,
SOT-WIN2K22-01,Windows Defender Firewall with Advanced Security STIG,2,R2 dated 09 Nov 2023,3,6,6,5,0,1,05/11/2026 05:22 PM,
SOT-WIN2K22-02,Google Chrome Current Windows STIG,2,R11 dated 02 Jul 2025,0,7,0,37,0,2,05/11/2026 05:22 PM,
SOT-WIN2K22-02,Microsoft Defender Antivirus STIG,2,R8 dated 01 Apr 2026,0,26,0,41,0,0,05/11/2026 05:22 PM,
SOT-WIN2K22-02,Microsoft DotNet Framework 4.0 STIG,2,R8 dated 01 Apr 2026,0,1,0,3,0,12,05/11/2026 05:22 PM,
SOT-WIN2K22-02,Microsoft Edge STIG,2,R5 dated 01 Apr 2026,0,5,0,48,0,8,05/11/2026 05:23 PM,
SOT-WIN2K22-02,MSIE 11 STIG,2,R7 dated 01 Apr 2026,1,0,0,136,0,0,05/11/2026 05:22 PM,
SOT-WIN2K22-02,Windows Defender Firewall with Advanced Security STIG,2,R2 dated 09 Nov 2023,3,8,9,0,0,1,05/11/2026 05:23 PM,
SOT-WIN2K22-SQL,Google Chrome Current Windows STIG,2,R11 dated 02 Jul 2025,0,7,0,37,0,2,05/11/2026 05:23 PM,
SOT-WIN2K22-SQL,Microsoft Defender Antivirus STIG,2,R8 dated 01 Apr 2026,0,26,0,41,0,0,05/11/2026 05:23 PM,
SOT-WIN2K22-SQL,Microsoft DotNet Framework 4.0 STIG,2,R8 dated 01 Apr 2026,0,1,0,3,0,12,05/11/2026 05:23 PM,
SOT-WIN2K22-SQL,Microsoft Edge STIG,2,R5 dated 01 Apr 2026,0,5,0,48,0,8,05/11/2026 05:23 PM,
SOT-WIN2K22-SQL,MSIE 11 STIG,2,R7 dated 01 Apr 2026,1,0,0,136,0,0,05/11/2026 05:23 PM,
SOT-WIN2K22-SQL,Windows Defender Firewall with Advanced Security STIG,2,R2 dated 09 Nov 2023,3,8,9,0,0,1,05/11/2026 05:23 PM,
SOT-WIN2K22-SQL-SQLEXPRESS,Microsoft SQL SVR 2022 Instance STIG,1,R4 dated 01 Apr 2026,4,15,0,24,0,36,05/11/2026 05:23 PM,
SOT-WIN2K22-WEB,Google Chrome Current Windows STIG,2,R11 dated 02 Jul 2025,0,7,0,37,0,2,05/11/2026 05:23 PM,
SOT-WIN2K22-WEB,Microsoft Defender Antivirus STIG,2,R8 dated 01 Apr 2026,0,26,0,41,0,0,05/11/2026 05:23 PM,
